Name,Club,Position,Trend,Points
Tom J. Lynch,Gold Coast Suns,Key Forward,no-change,479.9
Steven May,Gold Coast Suns,Key Defender,up,422.3
Aaron Hall,Gold Coast Suns,Midfielder/Forward,no-change,393.7
Touk Miller,Gold Coast Suns,Midfielder/Forward,no-change,376.4
Tom Nicholls,Gold Coast Suns,Ruck,up,352
Michael Rischitelli,Gold Coast Suns,Midfielder,no-change,347.5
Gary Ablett,Gold Coast Suns,Midfielder,no-change,342.4
Jack Martin,Gold Coast Suns,Small/Medium Forward,down,306.2
Kade Kolodjashnij,Gold Coast Suns,Small/Medium Defender,no-change,300.7
Dion Prestia,Gold Coast Suns,Midfielder,up,286
Jarrod Harbrow,Gold Coast Suns,Small/Medium Defender,up,281.8
Adam Saad,Gold Coast Suns,Small/Medium Defender,up,281.5
Sam Day,Gold Coast Suns,Key Forward,no-change,279.2
Alex Sexton,Gold Coast Suns,Midfielder/Forward,no-change,272.9
Brandon Matera,Gold Coast Suns,Small/Medium Forward,up,267.8
Matt Rosa,Gold Coast Suns,Midfielder,up,263.5
Nick Malceski,Gold Coast Suns,Small/Medium Defender,down,260.9
Jarrad Grant,Gold Coast Suns,Midfielder/Forward,up,225.6
Jesse Lonergan,Gold Coast Suns,Midfielder,up,212.2
Peter Wright,Gold Coast Suns,Key Forward,down,193.6
Matt Shaw,Gold Coast Suns,Midfielder,down,189.7
Rory Thompson,Gold Coast Suns,Key Defender,down,176.9
Ryan Davis,Gold Coast Suns,Small/Medium Forward,down,171.6
Mitch Hallahan,Gold Coast Suns,Midfielder,down,171.3
Sean Lemmens,Gold Coast Suns,Small/Medium Defender,down,159.2
Trent McKenzie,Gold Coast Suns,Small/Medium Defender,down,144.4
Henry Schade,Gold Coast Suns,Key Defender,no-change,133
Callum Ah Chee,Gold Coast Suns,Small/Medium Forward,no-change,132.5
Jarrod Garlett,Gold Coast Suns,Small/Medium Forward,down,121.3
Luke Russell,Gold Coast Suns,Midfielder/Forward,no-change,78.3
Clay Cameron,Gold Coast Suns,Key Defender,no-change,76.3
Keegan Brooksby,Gold Coast Suns,Key Defender,no-change,74.4
David Swallow,Gold Coast Suns,Midfielder,no-change,74
Jesse Joyce,Gold Coast Suns,Small/Medium Defender,no-change,68
Seb Tape,Gold Coast Suns,Small/Medium Defender,no-change,55.4
Daniel Currie,Gold Coast Suns,Ruck,no-change,45.3
Danny Stanley,Gold Coast Suns,Small/Medium Forward,no-change,44.8
Jack Leslie,Gold Coast Suns,Key Defender,no-change,35.7
Joshua Schoenfeld,Gold Coast Suns,Midfielder,no-change,20.2
Brayden Fiorini,Gold Coast Suns,Midfielder,no-change,17.2
Darcy MacPherson,Gold Coast Suns,Small/Medium Forward,no-change,15.2
Mackenzie Willis,Gold Coast Suns,Small/Medium Defender,no-change,12.5
Jaeger O'Meara,Gold Coast Suns,Midfielder,down,10.6
Tom Keough,Gold Coast Suns,Key Defender,no-change,0
Cameron Loersch,Gold Coast Suns,Key Forward,no-change,0
